comunidad,anio,precio_vivienda,salario_medio,tasa_paro_media,Transporte,Otros bienes y servicios,"Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",Sanidad,Ocio y cultura,Bebidas alcohólicas y tabaco,Restaurantes y hoteles,Vestido y calzado,Comunicaciones,Enseñanza,Alimentos y bebidas no alcohólicas
"Navarra, Comunidad Foral de",2009,161.204,23300.343333333334,10.8325,79.6805,81.75741666666666,93.02933333333334,83.27075,101.71375,67.85766666666666,86.73475,93.63333333333333,118.41983333333333,77.64725,85.621
"Murcia, Región de",2016,101.39675,21074.513333333332,19.7825,89.27091666666666,96.30316666666666,99.74958333333332,98.26975,101.142,94.70166666666667,93.17491666666666,95.96208333333334,100.23174999999999,94.44833333333334,93.48608333333334
Castilla y León,2013,101.2155,20416.323333333334,21.7475,95.86275,92.10591666666666,97.6365,95.97725000000001,103.58066666666667,93.47841666666666,89.94233333333334,94.62483333333334,105.582,94.76958333333333,90.17958333333333
Castilla - La Mancha,2013,100.5205,20475.893333333333,29.967499999999998,96.4545,91.69166666666666,100.51408333333335,96.33016666666667,106.08341666666666,92.15391666666666,91.0075,94.95191666666666,104.76375,91.83325,90.52008333333333
Comunitat Valenciana,2015,100.0,20888.643333333333,22.78,90.84033333333333,93.76991666666667,98.27983333333333,101.67683333333333,100.09641666666666,95.67525,91.24591666666667,95.30391666666667,98.91541666666666,96.003,91.7145
"Rioja, La",2020,117.18,23305.649999999998,10.8,93.03358333333334,98.392,99.05958333333332,98.35425,100.11491666666666,100.73525000000001,98.33466666666668,98.98491666666666,103.12175,100.99566666666668,98.97675
Galicia,2022,127.68475000000001,24236.440000000002,11.04,112.60566666666666,103.89375,107.01408333333335,101.65325,102.44425,104.85933333333332,107.51525,103.27066666666667,98.73816666666666,100.42983333333332,111.24991666666666
Castilla - La Mancha,2012,118.44325,20291.37,28.585,96.34566666666666,90.15625,99.79025,88.86808333333333,106.18008333333334,86.89866666666667,90.76825000000001,95.05825,109.47066666666666,84.04683333333334,88.01266666666668
Canarias,2023,144.51,24025.690000000002,16.075,113.17025000000001,108.70558333333334,111.20841666666666,103.26625,107.07516666666668,108.5125,114.76241666666665,98.04141666666668,101.80149999999999,104.81183333333333,127.00358333333334
Cantabria,2021,124.30250000000001,24412.47,11.265,100.00008333333334,100.0,100.00008333333334,100.0,100.00008333333334,99.99991666666666,99.99991666666666,100.0,100.00008333333334,99.99975,99.99991666666666
"Navarra, Comunidad Foral de",2019,111.6135,27262.55,8.2425,97.6585,97.08458333333333,97.61058333333334,97.94941666666666,100.7355,99.47241666666667,98.1925,98.02441666666668,104.75658333333332,99.984,95.01216666666666
Castilla y León,2008,152.999,19969.683333333334,9.6125,83.65108333333333,82.22291666666666,92.72366666666666,88.57908333333334,105.15158333333333,61.73791666666667,83.33958333333334,95.9515,116.698,74.81033333333333,85.11933333333333
Castilla - La Mancha,2008,149.22175,19480.42,11.6625,85.23283333333333,82.98408333333333,96.94808333333333,88.77508333333333,108.6715,60.45475,86.25316666666667,96.93983333333334,115.75133333333333,72.66658333333334,86.872
"Madrid, Comunidad de",2017,121.003,27009.62,13.342500000000001,91.57733333333333,94.87991666666666,97.80675000000001,99.51325000000001,100.15033333333334,96.6275,95.32908333333334,96.16066666666666,100.34775,96.11233333333332,93.62191666666666
